identifier,canonical_smiles,name,chemical_super_class,np_classifier_pathway,np_classifier_superclass,np_classifier_class,organisms,dois,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,mw,logp,hbd,hba,obscure,composite
CNP0293887.1,CC(=O)O[C@@H]1[C@@H](O)[C@H](OC2=CC(C3=CC(=O)C4=C(O)C=C(O)C=C4O3)=CC=C2O)O[C@H](C(=O)O)[C@H]1O,"(2S,3S,4S,5R,6S)-4-(acetyloxy)-6-[5-(5,7-dihydroxy-4-oxo-4H-chromen-2-yl)-2-hydroxyphenoxy]-3,5-dihydroxyoxane-2-carboxylic acid",Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Rosmarinus officinalis,10.1016/S0031-9422(00)90434-5,Rosmarinus officinalis,Shikimates and Phenylpropanoids,6.5,7.47,5.0,6.0,5.36,6.4,5.93,5.32,5.06,7.09,7.02,7.47,504.40000000000015,0.4185999999999995,6,12,2.0,9.13
CNP0566846.1,C[C@@H]1C/C=C2SCC(/N=C(/O)C3=COC(=N3)C[C@@H](O)C[C@H](O)C=C/C=C/C\N=C\2O)C(=O)O1,"(2~{E},9~{S},11~{S},14~{E},17~{Z},19~{Z},22~{R})-3,9,11,18-tetrahydroxy-22-methyl-6,23-dioxa-26-thia-2,17,27-triazatricyclo[17.5.2.1^{4,7}]heptacosa-2,4,7(27),12,14,17,19-heptaen-24-one",Organic acids and derivatives,Amino acids and Peptides,Oligopeptides,Cyclic peptides,Aglaia gigantea|Albugo candida|Andropogon nardus|Clibadium pentaneuron|Croton californicus|Croton sparsiflorus|Culcitium canescens|Dendrobium rotundatum|Distolasterias nipon|Eriostemon fitzgeraldii|Espeletia marcana|Graphis elongata|Homarus americanus|Malva crispa|Marine Bacteria (Unclassified)|Neoalsomitra integrifolia|Nolina erumpens|Petasites niveus|Phellinus xeranticus|Picrorhiza kurrooa|Piptolepis leptospermoides|Ratibida latipalearis|Rhinella paracnemis|Solanum toxicarium|Toxicodendron succedaneum|Weddellina squamulosa|Xylaria berteri,10.1021/acs.jnatprod.6b00235,Aglaia gigantea|Albugo candida|Andropogon nardus|Clibadium pentaneuron|Croton californicus|Croton sparsiflorus|Culcitium canescens|Dendrobium rotundatum|Distolasterias nipon|Eriostemon fitzgeraldii|Espeletia marcana|Graphis elongata|Homarus americanus|Malva crispa|Marine Bacteria (Unclassified)|Neoalsomitra integrifolia|Nolina erumpens|Petasites niveus|Phellinus xeranticus|Picrorhiza kurrooa|Piptolepis leptospermoides|Ratibida latipalearis|Rhinella paracnemis|Solanum toxicarium|Toxicodendron succedaneum|Weddellina squamulosa|Xylaria berteri,Amino acids and Peptides,6.38,7.54,4.36,5.5,5.52,5.48,5.83,6.68,5.21,6.85,7.02,7.54,477.5390000000002,2.0372,4,9,2.0,9.13
CNP0219122.1,CC[C@H](C)[C@@H](O)[C@@H](C)C(=O)O[C@@]1(C)C(=O)C2=C(C=C(O)C3=C2CCC[C@H]3C)C(C)(O)C1=O,Dothideomycetide A,Benzenoids,Polyketides,Chromanes,Azaphilones,Unknown-fungus sp.,10.1039/c2ob25959a,Unknown-fungus sp.,Polyketides,6.73,7.47,4.33,5.94,5.47,5.6,5.65,5.5,5.19,6.85,7.02,7.47,446.54000000000025,3.149900000000002,3,7,2.0,9.13
CNP0576008.1,O=C(NCCCC[C@@H](CO)NC(=O)C1=CC=CC(O)=C1O)C1=CC=CN=C1,Myxochelin N2,Benzenoids,Alkaloids,Peptide alkaloids,,Corallococcus|Corallococcus sp.,10.3390/MOLECULES26164929|10.3390/molecules26164929,Corallococcus|Corallococcus sp.,Alkaloids,5.74,7.43,5.56,6.54,5.48,5.39,5.7,5.32,5.75,7.08,7.02,7.43,373.4090000000001,1.1837999999999997,5,6,2.0,9.13
CNP0218594.1,OC1=CC=C(O)C2=C1[C@@H](O)CCC21OC2=CC=CC3=CC=CC(=C23)O1,"CJ-12,372",Benzenoids,Polyketides,Naphthalenes,Spirodioxynaphthalenes,Fungal strain N983-46|Unknown-bacterium fungus N983-46,10.7164/antibiotics.48.134,Fungal strain N983-46|Unknown-bacterium fungus N983-46,Polyketides,6.16,7.04,5.55,5.91,5.32,5.32,5.76,5.13,5.18,7.85,7.02,7.85,336.3430000000001,3.702400000000001,3,5,2.0,9.13
CNP0260739.1,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC4=C(C=C(C)C(C(=O)O)=C4O)O[C@]3(C)CC[C@H]2C1(C)C,Hongoquercin B,Phenylpropanoids and polyketides,Polyketides,Meroterpenoids,Tetraketide meroterpenoids,Agaricus|Fungus LL-23G227|Unknown-fungus sp.,10.7164/ANTIBIOTICS.51.708|10.7164/antibiotics.51.635,Agaricus|Fungus LL-23G227|Unknown-fungus sp.,Polyketides,6.19,7.01,4.41,7.4,5.55,5.54,6.04,5.21,4.94,6.66,7.02,7.4,430.5410000000003,4.876620000000004,2,5,2.0,9.13
CNP0518510.2,CC/C=C/C/C=C(/C)[C@H](O)CC/C(C)=C/C=C(\C)C(=O)C1=C(O)C=C([C@H](C)CC/C=C/NC(=O)OC)OC1=O,"methyl N-[(E,5R)-5-[4-hydroxy-5-[(2E,4E,8R,9Z,12E)-8-hydroxy-2,5,9-trimethylpentadeca-2,4,9,12-tetraenoyl]-6-oxopyran-2-yl]hex-1-enyl]carbamate",Organic oxygen compounds,Polyketides,Cyclic polyketides,2-pyrone derivatives,Corallococcus coralloides,10.1002/JLAC.198519850418|10.7164/ANTIBIOTICS.38.145,Corallococcus coralloides,Polyketides,6.38,7.46,4.51,6.13,5.9,5.93,5.65,5.63,5.32,7.22,7.02,7.46,541.6850000000003,6.617800000000009,3,7,2.0,9.13
CNP0518510.3,CC/C=C/C/C=C(/C)C(O)CC/C(C)=C/C=C(\C)C(=O)C1=C(O)C=C(C(C)CC/C=C/NC(=O)OC)OC1=O,,,Polyketides,Cyclic polyketides,2-pyrone derivatives,Corallococcus (Myxococcus) coralloides,,Corallococcus (Myxococcus) coralloides,Polyketides,6.38,7.46,4.51,6.13,5.9,5.93,5.65,5.63,5.32,7.22,7.02,7.46,541.6850000000003,6.617800000000009,3,7,2.0,9.13
CNP0348209.0,CC(C)=CCC1=C2OC(C)(C)C=CC2=C(O)C2=C1OC1=CC(O)=C3OC(C)(C)C=CC3=C1OC2=O,Garcinisidone C,Organoheterocyclic compounds,Shikimates and Phenylpropanoids,,,Garcinia|Garcinia corallina|Garcinia neglecta|Garcinia puat,10.1021/NP000333+|10.1021/np000333+,Garcinia|Garcinia corallina|Garcinia neglecta|Garcinia puat,Shikimates and Phenylpropanoids,6.66,7.74,4.55,6.56,5.4,5.74,5.68,5.64,5.27,6.65,7.02,7.74,476.5250000000003,6.299800000000007,2,7,2.0,9.13
CNP0249383.23,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@@]23C=C[C@@]2(C[C@@H](O)CC[C@]12C)OO3,,Lipids and lipid-like molecules,Terpenoids,Steroids,Cholestane steroids,Armillaria mellea|Asteromyces cruciatus|Taiwanofungus camphoratus|Typha capensis|Typha latifolia|Zanthoxylum beecheyanum,10.1002/JCCS.200400159|10.1007/S10600-008-9080-5|10.1016/0031-9422(90)85019-C|10.1016/J.BMC.2010.10.032|10.1016/S0031-9422(00)82503-0,Armillaria mellea|Asteromyces cruciatus|Taiwanofungus camphoratus|Typha capensis|Typha latifolia|Zanthoxylum beecheyanum,Terpenoids,6.25,7.04,4.43,7.77,5.01,5.39,6.01,5.09,5.24,5.71,7.02,7.77,428.6570000000002,6.473600000000007,1,3,2.0,9.13
CNP0563027.1,COC1=CC(/C=C/C(=O)[C@@]2(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC=C1O,feruloyl beta-d-glucose,Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Balanophora fungosa,10.1248/cpb.57.1352,Balanophora fungosa,Shikimates and Phenylpropanoids,5.97,7.03,6.1,6.15,5.1,5.82,5.85,5.41,5.26,7.86,7.01,7.86,356.32700000000006,-1.8545000000000003,6,9,2.0,9.11
CNP0395602.0,O=C(C1=CC=CC=C1)C1=C(O)N(O)C(=O)C(CC2=CC=CC=C2)=N1,Coelomycin,Organic oxygen compounds,Alkaloids,,,Unknown-fungus aureus EP167 strain,10.1038/ja.2010.86,Unknown-fungus aureus EP167 strain,Alkaloids,6.43,7.61,5.54,6.32,5.36,5.47,6.12,6.56,5.35,6.87,7.01,7.61,322.32,2.008,2,5,2.0,9.11
CNP0321135.0,CC(C)=CCC1=C(O)C2=C(OC3=CC(O)=C4OC(C)(C)C=CC4=C3OC2=O)C2=C1OC(C)(C)C=C2,Garcinisidone D,Organoheterocyclic compounds,Shikimates and Phenylpropanoids,,,Garcinia|Garcinia corallina|Garcinia neglecta|Garcinia puat,10.1021/NP000333+|10.1021/np000333+,Garcinia|Garcinia corallina|Garcinia neglecta|Garcinia puat,Shikimates and Phenylpropanoids,6.65,7.69,4.58,6.56,5.42,5.74,5.67,5.63,5.2,6.65,7.0,7.69,476.5250000000003,6.299800000000007,2,7,2.0,9.1
CNP0232430.5,C=C1CC[C@@H]2[C@](C)(CC[C@H](O)[C@]2(C)CO)[C@H]1/C=C/C1=CCOC1=O,"14-Deoxy-11,12-didehydroandrographolide",Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Labdane diterpenoids,Antrodia camphorata|Taiwanofungus camphoratus,10.1021/NP0581263|10.1021/np0581263,Antrodia camphorata|Taiwanofungus camphoratus,Terpenoids,6.68,7.66,4.59,5.93,5.26,5.12,5.7,6.65,4.88,5.55,7.0,7.66,332.4400000000001,2.767800000000001,2,4,2.0,9.1
CNP0178703.1,COC1=CC2=C(C(=O)C3=C(C[C@H](C)O[C@@H]3C)C2=O)C(O)=C1C1=C(OC)C=C2C(=O)C3=C(C(=O)C2=C1O)[C@@H](C)O[C@@H](C)C3,Cardinalin-3,"Lignans, neolignans and related compounds",Polyketides,Naphthalenes,Anthraquinones and anthrones,Cortinarius cardinalis|Dermocybe cardinalis|Unknown-fungus sp.,10.1039/A605900G|10.1039/a605900g|10.1080/10575639408044061,Cortinarius cardinalis|Dermocybe cardinalis|Unknown-fungus sp.,Polyketides,6.41,7.55,4.35,5.83,5.46,5.96,5.79,5.13,5.07,7.03,7.0,7.55,574.5820000000002,4.527800000000004,2,10,2.0,9.1
CNP0581617.4,C/C=C/C/C=C(/C)C(O)CC/C(C)=C/C=C(\C)C(=O)C1=C(O)C=C(C(C)CC/C=C/NC(=O)OC)OC1=O,,,Polyketides,Cyclic polyketides,2-pyrone derivatives,Corallococcus (Myxococcus) coralloides,,Corallococcus (Myxococcus) coralloides,Polyketides,6.38,7.46,4.49,6.13,5.57,5.92,5.67,5.59,5.31,7.17,7.0,7.46,527.6580000000002,6.2277000000000085,3,7,2.0,9.1
CNP0147891.1,CC[C@]1(O)CC2=C(C=C3C(=O)C4=C(O)C=CC=C4C(=O)C3=C2O)[C@@H](O)C1,gamma-Citromycinon,Benzenoids,Polyketides,Polycyclic aromatic polyketides,Angucyclines,Unknown-fungus sp.,10.1002/cber.19681010426,Unknown-fungus sp.,Polyketides,6.53,7.68,5.75,6.23,5.4,5.4,5.83,5.96,5.19,6.78,7.0,7.68,354.3580000000001,1.9939,4,6,2.0,9.1
CNP0413809.1,OC1=C2C3=C(C=C1)O[C@]14O[C@]3(OC3=CC=CC(=C31)[C@@H](O)C[C@H]4O)[C@@H]1O[C@@H]1[C@@H]2O,Ymf 1029A,Benzenoids,Polyketides,Naphthalenes,Spirodioxynaphthalenes,Unknown-fungus sp. 1.01029|ymf 1.01029,10.1021/np800034g,Unknown-fungus sp. 1.01029|ymf 1.01029,Polyketides,6.22,7.07,5.32,5.43,5.37,5.37,6.01,5.07,5.05,7.72,7.0,7.72,384.34000000000003,0.8117999999999994,4,8,2.0,9.1
CNP0232430.1,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,42895-58-9,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Labdane diterpenoids,Andrographis Paniculata|Andrographis affinis|Andrographis paniculata|Antrodia camphorata|Aphis affinis|Taiwanofungus camphoratus,10.1002/CHIN.201029197|10.1016/J.PHYTOCHEM.2004.05.008|10.1021/JF903629J|10.1021/NP020331K|10.1021/NP050160U|10.1021/NP050211N|10.1021/NP0581263|10.1021/NP0704452|10.1021/np050160u|10.1021/np0581263|10.1021/np0704452|10.1021/np2002572|10.1039/P19730001247|10.1055/S-2007-967181|10.1248/CPB.42.1216,Andrographis Paniculata|Andrographis affinis|Andrographis paniculata|Antrodia camphorata|Aphis affinis|Taiwanofungus camphoratus,Terpenoids,6.68,7.66,4.59,5.93,5.26,5.12,5.7,6.65,4.88,5.55,7.0,7.66,332.4400000000001,2.767800000000001,2,4,2.0,9.1
CNP0071630.1,COC1=C(C)C=C(O)C2=C1[C@H](O)[C@]1(C(=O)C(CC=C(C)C)=CC[C@@H]1O)C2=O,Coleophomone F,Benzenoids,Polyketides,Meroterpenoids,,Unknown sp. SCSIO F46|unidentified species of Phylum Ascomycota,10.1039/c9np00069k|10.3389/fchem.2018.00536,Unknown sp. SCSIO F46|unidentified species of Phylum Ascomycota,Polyketides,6.68,7.64,4.56,5.77,5.54,5.64,5.69,5.66,5.22,6.68,7.0,7.64,372.41700000000014,2.541720000000001,3,6,2.0,9.1
CNP0268621.1,CC(C)C1=C(O)C(=O)C2=C(CC[C@H]3C(C)(C)CCC[C@]23C(=O)O)C1=O,Royleanonic acid,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Abietane diterpenoids,Rosmarinus officinalis|Rosmarinus officinalis L.,10.1016/J.PHYTOCHEM.2005.04.041,Rosmarinus officinalis|Rosmarinus officinalis L.,Terpenoids,7.06,7.56,4.55,5.95,5.25,4.85,5.69,5.15,5.12,6.38,7.0,7.56,346.42300000000006,3.594000000000002,2,4,2.0,9.1
CNP0267445.2,C/C=C/C/C=C(/C)[C@H]1CC[C@](C)(/C=C/[C@H](C)C(=O)C2=C(O)C=C([C@H](C)CC/C=C/NC(=O)OC)OC2=O)O1,,Organic oxygen compounds,Polyketides,Cyclic polyketides,2-pyrone derivatives,Corallococcus coralloides,10.1002/JLAC.198519850418,Corallococcus coralloides,Polyketides,6.88,7.44,4.56,6.16,5.7,5.36,5.56,5.49,5.15,6.69,7.0,7.44,527.6580000000004,6.324000000000008,2,7,2.0,9.1
CNP0267445.3,C/C=C/C/C=C(/C)C1CCC(C)(/C=C/C(C)C(=O)C2=C(O)C=C(C(C)CC/C=C/NC(=O)OC)OC2=O)O1,,,Polyketides,Cyclic polyketides,2-pyrone derivatives,Corallococcus (Myxococcus) coralloides|Corallococcus coralloides,10.7164/ANTIBIOTICS.38.145|10.7164/antibiotics.38.145,Corallococcus (Myxococcus) coralloides|Corallococcus coralloides,Polyketides,6.88,7.44,4.56,6.16,5.7,5.36,5.56,5.49,5.15,6.69,7.0,7.44,527.6580000000004,6.324000000000008,2,7,2.0,9.1
CNP0425049.1,CC(C)C1=C(O)C2=C(C(=O)C1=O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2,Royleanonic acid,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Abietane diterpenoids,Rosmarinus Officinalis|Salvia plebeia,10.1016/S0308-8146(00)00300-9,Rosmarinus Officinalis|Salvia plebeia,Terpenoids,7.05,7.55,4.55,6.06,5.25,4.91,5.73,5.61,5.12,6.39,7.0,7.55,346.4230000000001,3.594000000000003,2,4,2.0,9.1
CNP0581617.2,C/C=C/C/C=C(/C)[C@H](O)CC/C(C)=C/C=C(\C)C(=O)C1=C(O)C=C([C@H](C)CC/C=C/NC(=O)OC)OC1=O,Corallopyronin A,Organic oxygen compounds,Polyketides,Cyclic polyketides,2-pyrone derivatives,Corallococcus coralloides,10.1002/JLAC.198519850418,Corallococcus coralloides,Polyketides,6.38,7.46,4.49,6.13,5.57,5.92,5.67,5.59,5.31,7.17,7.0,7.46,527.6580000000002,6.2277000000000085,3,7,2.0,9.1
CNP0476938.1,CCCCC(C)C1=CC(=O)C2=C(O[C@]3(C)CC[C@H]4O[C@@H](C(C)(O)C(=O)O)CC[C@]4(C)[C@H]3C2)C1=O,,Organoheterocyclic compounds,Polyketides,Meroterpenoids,Other polyketide meroterpenoids,Anamorphic fungus RF-13305,10.1021/np2007389,Anamorphic fungus RF-13305,Polyketides,7.09,7.6,4.35,6.3,5.38,5.41,5.63,5.87,5.26,5.55,7.0,7.6,474.5940000000003,4.123500000000003,2,6,2.0,9.1
CNP0267800.0,CC(C)=CCC1=C(O)C(CC=C(C)C)=C2OC3=C(OC(=O)C2=C1O)C1=C(OC(C)(C)C=C1)C(O)=C3,Garcinisidone E,Organoheterocyclic compounds,Polyketides,Aromatic polyketides,Depsidones,Garcinia|Garcinia corallina|Garcinia neglecta|Garcinia puat,10.1021/NP000333+|10.1021/np000333+,Garcinia|Garcinia corallina|Garcinia neglecta|Garcinia puat,Polyketides,6.65,7.69,4.58,6.56,5.41,5.74,5.69,5.63,5.2,6.67,7.0,7.69,478.5410000000003,6.3299000000000065,3,7,2.0,9.1
CNP0267445.4,C/C=C/C/C=C(\C)C1CCC(C)(/C=C/C(C)C(=O)C2=C(O)C=C(C(C)CC/C=C/NC(=O)OC)OC2=O)O1,,,Polyketides,Cyclic polyketides,2-pyrone derivatives,Corallococcus coralloides,10.7164/ANTIBIOTICS.38.145,Corallococcus coralloides,Polyketides,6.88,7.44,4.56,6.16,5.7,5.36,5.56,5.49,5.15,6.69,7.0,7.44,527.6580000000004,6.324000000000008,2,7,2.0,9.1
CNP0581617.3,C/C=C/C/C=C(\C)C(O)CC/C(C)=C/C=C(\C)C(=O)C1=C(O)C=C([C@H](C)CC/C=C/NC(=O)OC)OC1=O,,,Polyketides,Cyclic polyketides,2-pyrone derivatives,Corallococcus coralloides,10.7164/ANTIBIOTICS.38.145,Corallococcus coralloides,Polyketides,6.38,7.46,4.49,6.13,5.57,5.92,5.67,5.59,5.31,7.17,7.0,7.46,527.6580000000002,6.2277000000000085,3,7,2.0,9.1
CNP0508785.0,O=C1N=C(O)C(C2=CC=CC=C2)=C1C1=CC=C(O)C=C1,5-hydroxy-3-(4-hydroxyphenyl)-4-phenylpyrrol-2-one,Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Terphenyls,p-Terphenyls,Marine Bacteria (Unclassified),10.1021/acs.jnatprod.6b00235,Marine Bacteria (Unclassified),Shikimates and Phenylpropanoids,6.43,7.68,5.62,5.78,5.43,6.1,6.16,5.55,5.22,6.88,7.0,7.68,265.268,2.7997000000000014,2,2,2.0,9.1
CNP0524524.0,NC1=NC2(O)N3C(=CC(Br)=C3Br)C(=O)N3CCCC32N1,,Organic acids and derivatives,Alkaloids,,,agelas sponges,10.1016/j.bmc.2009.12.028,agelas sponges,Alkaloids,6.88,7.71,4.66,5.62,5.67,5.61,6.12,5.49,5.46,6.4,7.0,7.71,405.0500000000001,0.4795000000000002,3,5,2.0,9.1
CNP0139268.0,CC(C)C1=CC2=C(C(O)=C1O)C1CCCC(C)(C)C1CC2=O,,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Abietane diterpenoids,Rosmarinus officinalis,10.3390/IJMS151120585,Rosmarinus officinalis,Terpenoids,7.06,7.49,4.4,5.92,5.3,5.12,5.59,5.29,5.08,6.41,6.99,7.49,302.414,4.717500000000005,2,3,2.0,9.09
CNP0412732.1,O=C1C2=C(O)C=C(O)C=C2OC[C@@]1(O)C1=CC=C(O)C=C1,Dothideoisoflavanone,Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Isoflavonoids,Isoflavanones,Unknown-fungus sp. CMU-99,10.1016/j.tetlet.2015.01.088,Unknown-fungus sp. CMU-99,Shikimates and Phenylpropanoids,6.69,7.72,5.08,5.76,5.37,5.73,5.93,5.15,5.11,6.56,6.99,7.72,288.25499999999994,1.2662999999999998,4,6,2.0,9.09
CNP0267523.1,CC1(C)CCC[C@@]2(C)C1CC[C@@](C)(O)[C@@H]2CC1=C(O)C=CC(O)=C1C=O,,Organic oxygen compounds,Terpenoids,Meroterpenoids,Drimane sesquiterpenoids,Siphonodictyon coralliphagum,10.1039/np9840100551,Siphonodictyon coralliphagum,Terpenoids,6.2,7.13,5.85,5.7,5.16,5.38,5.92,5.69,5.17,7.63,6.99,7.63,360.494,4.446400000000007,3,4,2.0,9.09
CNP0108701.1,CC1=C([C@]2(C)CC[C@H]3[C@@H](CC=C4C[C@@H](O)[C@H](O)C[C@@]43C)C2=O)C=CO1,,Organoheterocyclic compounds,Terpenoids,Steroids,Pregnane steroids,Agave cocui|Alcyonium coralloides|Campanula hypopolia|Chasmanthera dependens|Corydalis pallida|Crepis czerepanovii|Cylindropuntia leptocaulis|Dendrobates auratus|Eupatoriastrum nelsonii|Huperzia selago|Hydroclathrus tenuis|Hymenoxys grandiflora|Kielmeyera rubriflora|Larix lyallii|Lethariella sinensis|Maackia floribunda|Meliosma wightii|Oroxylum indicum|Othonna tagetes|Pellina semitubulosa|Penicillium expansum|Phakellia flabellata|Philadelphus coronarius|Phragmatobia fuliginosa|Phyllosticta cirsii|Polygala fruticosa|Pteris pedata|Pterocarpus macrocarpus|Russula lepida|Scandix pecten-veneris|Senecio miser|Simaba cuneata|Sorbaria arborea|Syzygium levinei|Thalictrum podocarpum|Trichilia catigua|Trichoplusia ni|Tripteris microcarpa|Turbina corymbosa|Urginea riparia|Ventilago madraspatana|Vincetoxicum atratum,10.1016/0031-9422(88)80692-7,Agave cocui|Alcyonium coralloides|Campanula hypopolia|Chasmanthera dependens|Corydalis pallida|Crepis czerepanovii|Cylindropuntia leptocaulis|Dendrobates auratus|Eupatoriastrum nelsonii|Huperzia selago|Hydroclathrus tenuis|Hymenoxys grandiflora|Kielmeyera rubriflora|Larix lyallii|Lethariella sinensis|Maackia floribunda|Meliosma wightii|Oroxylum indicum|Othonna tagetes|Pellina semitubulosa|Penicillium expansum|Phakellia flabellata|Philadelphus coronarius|Phragmatobia fuliginosa|Phyllosticta cirsii|Polygala fruticosa|Pteris pedata|Pterocarpus macrocarpus|Russula lepida|Scandix pecten-veneris|Senecio miser|Simaba cuneata|Sorbaria arborea|Syzygium levinei|Thalictrum podocarpum|Trichilia catigua|Trichoplusia ni|Tripteris microcarpa|Turbina corymbosa|Urginea riparia|Ventilago madraspatana|Vincetoxicum atratum,Terpenoids,6.87,7.45,5.66,5.74,6.28,5.41,6.66,5.33,5.02,5.99,6.99,7.45,344.4510000000001,3.293020000000002,2,4,2.0,9.09
CNP0266483.1,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC1=CC(O)=CC=C1O,ZONAROL,Benzenoids,Terpenoids,Sesquiterpenoids,Drimane sesquiterpenoids,Dictyopteris undulata|Marine|Phytolacca acinosa,10.1002/CHIN.197340251|10.1007/S10600-019-02670-2|10.1016/0031-9422(95)00651-6|10.1246/BCSJ.52.629|10.1371/JOURNAL.PONE.0113509|10.1371/journal.pone.0113509|10.3987/R-1984-10-2301,Dictyopteris undulata|Marine|Phytolacca acinosa,Terpenoids,6.41,7.1,5.47,5.83,5.31,5.4,6.2,5.66,5.16,7.47,6.99,7.47,314.469,5.439100000000007,2,2,2.0,9.09
CNP0207987.0,CC(C)C1=CC2=C(C3=C(CC2)C(C)(C)CCC3=O)C(O)=C1O,Sageone,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Icetexane diterpenoids,Rosmarinus officinalis|Salvia|Salvia apiana|Salvia mellifera|Salvia officinalis|Salvia pachyphylla,10.1016/0031-9422(92)80282-J|10.1016/0031-9422(92)83493-I|10.1016/J.PHYMED.2016.06.014|10.1016/S0031-9422(00)94798-8|10.1016/S0031-9422(97)00151-9|10.1016/S0305-1978(02)00165-5|10.1016/j.phymed.2016.09.008|10.1021/NP060279I|10.1055/A-0608-4946|10.1080/14786419.2016.1269096,Rosmarinus officinalis|Salvia|Salvia apiana|Salvia mellifera|Salvia officinalis|Salvia pachyphylla,Terpenoids,7.04,7.61,4.34,5.89,5.24,5.64,5.71,5.24,5.17,6.31,6.99,7.61,300.3979999999999,4.310100000000005,2,3,2.0,9.09
CNP0163526.3,C[C@@H](CO)C1=CC2=C(C(O)=C1O)[C@@]1(C)CCCC(C)(C)C1=C(O)C2=O,,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Abeoabietane diterpenoids,Avicennia marina,10.1055/s-2008-1034318,Avicennia marina,Terpenoids,6.99,7.47,4.3,6.09,5.8,5.59,5.72,5.4,5.21,6.51,6.99,7.47,346.42300000000006,3.669800000000002,4,5,2.0,9.09
CNP0134010.4,C[C@H](/C=C/[C@H](C)[C@H](C)CO)[C@H]1CC[C@@H]2C3=CC[C@@H]4CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]21C,,,Terpenoids,Steroids,Cholestane steroids,Taiwanofungus camphoratus,10.1016/J.BMC.2010.10.032,Taiwanofungus camphoratus,Terpenoids,6.92,7.43,4.41,6.62,5.09,5.18,5.52,5.01,5.18,5.61,6.99,7.43,412.65800000000036,6.5913000000000075,1,2,2.0,9.09
CNP0163526.4,C[C@H](CO)C1=CC2=C(C(O)=C1O)[C@@]1(C)CCCC(C)(C)C1=C(O)C2=O,,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Abeoabietane diterpenoids,Avicennia marina,10.1055/S-2008-1034318,Avicennia marina,Terpenoids,6.99,7.47,4.3,6.09,5.8,5.59,5.72,5.4,5.21,6.51,6.99,7.47,346.42300000000006,3.669800000000002,4,5,2.0,9.09
CNP0134010.3,C[C@H](C=C[C@H](C)[C@H](C)CO)[C@H]1CC[C@@H]2C3=CC[C@@H]4CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]21C,,,Terpenoids,Steroids,Cholestane steroids,Taiwanofungus camphoratus,10.1016/J.BMC.2010.10.032,Taiwanofungus camphoratus,Terpenoids,6.92,7.43,4.41,6.62,5.09,5.18,5.52,5.01,5.18,5.61,6.99,7.43,412.65800000000036,6.5913000000000075,1,2,2.0,9.09
CNP0333905.2,C/C=C1\C=CC2=NCC[C@@H]3O[C@@]213,Abikoviromycin,Organoheterocyclic compounds,,,,Unknown-fungus sp.,10.7164/antibiotics.56.801,Unknown-fungus sp.,,6.31,7.02,4.31,7.4,5.26,5.35,5.24,5.15,5.02,6.55,6.99,7.4,161.204,1.4848000000000001,0,2,2.0,9.09
CNP0002836.0,CC(C)C1=CC2=C(C(=O)C3CCCC(C)(C)C3CC2)C(O)=C1O,Rosmaridiphenol,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Abietane diterpenoids,Rosmarinus officinalis,10.1007/BF02636212|10.3390/MOLECULES21111576,Rosmarinus officinalis,Terpenoids,7.0,7.56,4.38,5.97,5.16,5.15,5.7,5.19,5.13,6.42,6.99,7.56,316.44100000000003,4.7926000000000055,2,3,2.0,9.09
CNP0597650.1,O=C(N[C@H](CO)CCCCNC(=O)C1=CC=CC(O)=C1O)C1=CC=CN=C1,Myxochelin N1,Benzenoids,Alkaloids,Peptide alkaloids,,Corallococcus|Corallococcus sp.,10.3390/MOLECULES26164929|10.3390/molecules26164929,Corallococcus|Corallococcus sp.,Alkaloids,5.81,7.36,5.56,6.54,5.46,5.39,5.68,5.25,5.75,7.08,6.99,7.36,373.40900000000005,1.1837999999999989,5,6,2.0,9.09
